Name,Project,Organization
Gavish Poddar,Implementing an optional language detection library to improve language detection.,Python Software Foundation
Ping Zhang,GSoC Proposal: Multi-Start Optimization Methods,NumFOCUS
Lakshya Singh,Socket Library,Chapel
Suhas G,Shifting VisualCircuit to a web server,JdeRobot - Universidad Rey Juan Carlos
Martynas Stankevičius,FFT assembly,FFmpeg
Akshat Tiwari,Musicbrainz Android App: Dawn of Showdown,MetaBrainz Foundation Inc
Liutong HAN,Optimizing OpenCV DNN for RISC-V Proposal,OpenCV
Ritiek Malhotra,Complete Rust binding for the MusicBrainz API,MetaBrainz Foundation Inc
Benjamin Doron,Minimum Platform Board Port - Acer Aspire VN7-572G,TianoCore
mschwennesen,NetworkX: Implementing the Asadpour Asymmetric Traveling Salesman Problem Algorithm,NumFOCUS
Aayush Joglekar,Sample Diagnostics App for ChromeOS,Chromium
Mragank Shekhar,"Speed-up, parallelize and distribute ArviZ",NumFOCUS
Siyuan Fan,A Software ISP Implementation with OpenCL,libcamera
Sankha Das,SBML4Humans - Interactive SBML Report for Humans,National Resource for Network Biology (NRNB)
Avinash,RetroShare WEBUI,freifunk
Adrian-Antonio Petre,Portability for the Patatrack Pixel Track Reconstruction with Alpaka,CERN-HSF
Frank Schäfer,Neural Hybrid Differential Equations and Adjoint Sensitivity Analysis,NumFOCUS
Adwait Bhope,Adding Support for Resampling Data with NDCube,openastronomy
Sparsh Agrawal,Static Analysis Checks + Improvements,Oppia Foundation
Omar Mohamed Abdel Samea,Making FOSSology architecture microservice friendly,FOSSology
Deepro Choudhury,Implementation of FHIRPath in a Java library,Google FHIR SDK
santhab,Implementing table styles DOCX support,LibreOffice
open-sorcerer,WebView Components UI,Chromium
Hongcheng Zhong,VVC Parser for Gstreamer,Intel Video and Audio for Linux
Sandagomi Pieris,CrawlerX - Distributed crawling system,SCoRe Lab
Ilias Kyranas,Sastix-CMS: A general purpose Java CMS in Spring Boot,GFOSS - Open Technology Alliance
Alana Xiang,Large Scale Protein Modeling in DeepChem,Open Chemistry
Alexis Ehret,Reworking Rizin's binary loading,Rizin
Marcos Lerones,Dhall bindings to TOML configuration language,Haskell.org
Akash Gupta,"Implement a ""Series"" entity",MetaBrainz Foundation Inc
Sahan Dilshan,Lifecycle Management of DBpedia Neural QA Models - Sahan Dilshan,DBpedia
Ankur Saini,Extending C++ support for static analysis pass,GNU Compiler Collection (GCC)
anubhav sharma,Android FHIR Client,Google FHIR SDK
Yeming Gu,Yeming Gu's GSoC proposal for CHAOSS,CHAOSS Project
Jimil Desai,Runtime plugin ecosystem support for OCIS,CERN-HSF
Aadi Bajpai,Beacon Backend,CCExtractor Development
Utkarsh Maheshwari,Increase support for time-series and regressions (Python),NumFOCUS
Captain Yoshi,Creation of a Benchmark Suite,MoveIt
Rashmi K A,Sorting Hat - Extend data model and user interface to capture better information about contributors,CHAOSS Project
Indraneel Ghosh,Simple Enrichment Tool for Analysis,National Resource for Network Biology (NRNB)
BinhMinh TranHuu,Center of Satellite Signal in the Frequency Domain,AerospaceResearch.net
Linden Disney-Hogg,Rigorous integration and the Abel-Jacobi map,SageMath
Ramanujan,DNSTool Middleware/API,SCoRe Lab
D Ajay Kumar,enviroCar Platform Independent App,52°North GmbH
Mainak Deb,Upgrading DevoLearn,INCF
Eyvaz Ahmadzada,Media Manager,Joomla!
Okonkwo Ifeanyichukwu,Ideas for Google Summer of Code/Morphological analyser,Apertium
DhairyaJain,Add Robust Betas to Performance Analytics,The R Project for Statistical Computing
amanpro30,Login/Signup Implementation,OWASP Foundation
Srijan Paul,Closures in Pallene,LabLua
Nektarios Gkikakis Fifes,AsyncAPI Application simulation,Postman
vsquareg,High Performance Data Channel for Duet,OpenMined
Giannis Papad,"""PackageInfo WebApp""",GFOSS - Open Technology Alliance
Sanjiban Sengupta,ROOT Storage of Deep Learning models in TMVA,CERN-HSF
Jeevi,DNSTool proposal,SCoRe Lab
Nithin Jaikar,DUMP SHARED MEMORY IN USER-MODE,CRIU
Olivian,Haskell in CodeMirror 6,Haskell.org
Siras Hakobyan,"TumorComparer, updated version",National Resource for Network Biology (NRNB)
Jakub Jelinek,Handling compiler arguments,Fortran-lang
Shivaditya Shivganesh,Neural network-based object detection of anatomical structures and medical artifacts in Virtual Reality,LibreHealth
Rishi Purwar,Contributing to Postman Public Workspace,Postman
Vishal Dalwadi,Support for Contextual Query Language,Polypheny
Amlan Kumar Nandy,Improve LabelLab Mobile Application,SCoRe Lab
Aditya Mitra,Out Of Office Settings with an Assigning Deputy - GSOC 2021 - Aditya Mitra,Rocket.Chat
Nuwan Jayawardene,Containerisation of Apache Synapse ESB,The Apache Software Foundation
Dongjia Zhang,Scheduler for LibAFL,AFLplusplus
Aidan Marshall,Deep learning homology inference,Genome Assembly and Annotation
Vadim Abzalov,[NetworkX] Pedagogical Interactive Notebooks for Algorithms Implemented in NetworkX,NumFOCUS
Emiljano Gjiriti,Coverage-guided mutation-based fuzzing for WebGPU,Android Graphics Tools Team
srkltg,DNSTool Web Application,SCoRe Lab
Vasily Ilin,Efficient Spatial Simulations in DiffEqJump,NumFOCUS
Preet Vadaliya,Custom Font Typeface Support,MIT App Inventor
yuqi (alyssa) chen,proposal for Enable Clang/LLVM Build for Microsoft Windows,TianoCore
YoungHwan Joo,Develop Performance Farm Benchmarks and Website,PostgreSQL
Aneesh Chawla,OpenForBC,CERN-HSF
Ferran Delgado Garcia,Crop Doc Terminal TPU,Liquid Galaxy project
pschreiber,Freifunk Digital Twin - test on your virtual mesh before going productive,freifunk
Sunit Roy,TensorFlow Lite examples for Natural Language Processing,TensorFlow
Ayush Singh,Calibrate SDR+,AerospaceResearch.net
Neel,Lambert W Distributions in Stan,NumFOCUS
Sarthak_Gupta,Sugarizer Measure activity,Sugar Labs
Ishan Kumar Kaler,General Midi Mad Dash,Purr Data
Vineet Jain,WARP-V Many-Core in the Cloud,Free and Open Source Silicon Foundation
Kinar Sharma,Functional Enhancements to Fineract CN Mobile,The Apache Software Foundation
Aditya Wagh,Maxima Demo and Documentation Tool.,INCF
Anubhav Sharma-1,Retraining models from ORES to be deployable on Lift Wing,Wikimedia Foundation
Pankaj Yadav,Local DB support for SBGN maps in Newt,National Resource for Network Biology (NRNB)
Evgeniia Karunus,SciUnit: integration with NetPyNE and other simulation environments,INCF
Ilia Ilmer,Parameter Identifiability with ModelingToolkit.jl,NumFOCUS
Shaik Ajmal R,Building a AI Based Web Application firewall,OWASP Foundation
David Davó,Fixing ihaskell-widgets,Haskell.org
Rahul Anand,3Scale - Envoy proxy authorization cache,JBoss Community
Abhay0O7,Implement DepClean Gradle plugin and support for multi-module analysis,CASTOR
Songlin Jiang,Customize IBus Extension,openSUSE Project
Aman V. Singh,SecureTea - Improvement in Features,OWASP Foundation
Anastasiia Sedova,Relation Extraction,DeepPavlov
geolas,"Pocket Paint for Android: Hide the top and bottom bars, and make the drawing surface full screen by default",International Catrobat Association
Farjad Ilyas,"""Migrating to Scoped Storage"" By Farjad Ilyas, 2021",AnkiDroid
Arpit Bhalla,"Migrating Hooks, Tests & APIs",React Native Elements
Xuanda Yang,Implement Escape Analysis in Julia Compiler,The Julia Language
Alexis Newton,Implement Small Groups,SageMath
Zeeshan Equbal,Improving Zulip’s terminal interface.,Zulip
Dhruv Vats,Integrating Multitaper Periodogram into Stingray,openastronomy
NIKITA MAHOVIYA,Develop GUI for ImageJ groovy script calling VCell API,National Resource for Network Biology (NRNB)
Rahul Saini,Frontend Inline editing,Joomla!
Duong Dac,Improve the OpenCV Python package with type annotations and type checking,OpenCV
Rishi R,Machine Learning for Macro Diffusion Indexes,The R Project for Statistical Computing
Prateek Pardeshi,Pidgin: Account Creation/Edit Assistant,Pidgin Instant Messenger
Xingyu Liu,Improve performance through the use of Pythran,Python Software Foundation
Rahul Babu Shrestha,"Implementing locality sensitive hashing to compare large scale, out of core machine learning datasets",Python Software Foundation
Rikito Taniguchi,Add synthetics and symbol information for semanticdb in Scala 3,Scala Center
Yulia Kuzovkova,Support for RFC 7670 (Generic Raw public key support),The Libreswan Project
Somil Jain,Design Challenge,Cuneiform Digital Library Initiative (CDLI)
José Manuel Díaz Urraco,DBpedia Spotlight Dashboard: an integrated statistical information tool from the Wikipedia dumps and the DBpedia Extraction Framework artifacts,DBpedia
Nishit Patel,Tracker-miners: File creation time,GNOME Foundation
Maija Utriainen,Implementing multiple clustering algorithms and dimensionality reduction techniques on clusterMaker2,National Resource for Network Biology (NRNB)
Devyansh Chawla,Develop a UserScript/Gadget tutorial on MediaWiki.org similar to Wikipedia:The_Wikipedia_Adventure,Wikimedia Foundation
Jose Giraldo,Sounds similar for me: Using open embeddings to improve sampling on orcAL Tool,Orcasound
Hashim,DFFML : Enhancing User Experience with Notebook Examples for Machine Learning Use Cases.,Python Software Foundation
Manan Sharma-1,Newman Dashboard,Postman
Jean Staquet,Channel's Calendar View,Rocket.Chat
Huu Long Nguyen,Particle Swarm Optimization for Hyperparameter Tuning in MLJ,The Julia Language
Nirmal Praveen Suthar,Generate a JSON Representation of the Specification from Structured Markdown,SPDX
Hrithik Kumar Verma,MISSION SUPPORT SYSTEM (MSS) : GENERATING A TOOL CHAIN TUTORIAL FOR THE MSUI USER INTERFACE BY AUTOMATION OPERATIONS,Python Software Foundation
Hari Krishna,Develop a web based monitoring dashboard to improve and monitor existing database backup inventory processes and improve long term maintainability of existing code,Wikimedia Foundation
CastilloDel,Pure Rust serverless htsget implementation,Global Alliance for Genomics and Health
Jayaraj,CalibrateSDR,AerospaceResearch.net
Trung Kien Dang,"A Python - Scala integrated environment with Almond, Ammonite and ScalaPy",Scala Center
Abhishek Zade,Compatibility for Touch Devices,CircuitVerse.org
Adarsh Kumar Singh,Classroom and Doubt forum feature in Mobile Application.,JBoss Community
Chukwuemeka Okechukwu,DIAL ODK-X New Date Prompts For ODK-X Survey Proposal,Digital Impact Alliance (DIAL) at UN Foundation
Hugo Flores Garcia,Source Separation and Extensible MIR Tools for Audacity,Audacity
Sidharth Anand,Smart Tempo in MuseScore 4,MuseScore
Adithya Vardhan,Channels Discovery,Rocket.Chat
Sushanth Rao,Writing of RBS Files,Ruby
Maayami,SCoRe Lab's Gitter ChatBot,SCoRe Lab
Farees Hussain Syed,End-to-End Testing Support,Oppia Foundation
Stuti Mohgaonkar,Create p5 Music examples - interactive and generative,Processing Foundation
Apoorva Vikram Singh,Equivariant Neural Networks for Dark Matter Morphology with Strong Gravitational Lensing,Machine Learning for Science (ML4SCI) Umbrella Organization
Albert Font,Electronics Monitor Board (EMB),Liquid Galaxy project
Ioannis Sina,Creation of a multi user audio first annotation tool,GFOSS - Open Technology Alliance
tpw_rules,T1220 AXIOM Beta nMigen Support,apertus° Association
Apurv Gupta,UX Enhancements,The Apache Software Foundation
Georgios Pipilis,Machine Learning Model for the Albedo of Mercury,Machine Learning for Science (ML4SCI) Umbrella Organization
freyam,Visualizing Performance Characteristics of Computations,NumFOCUS
xing-zhi jiang,autocomplete and related feature,MariaDB Foundation
Panos Korovesis,Make SVM format independent of the VCL Metafile + test of the format,LibreOffice
Arsh Sharma-1,General Improvements to User Experience in Javis,The Julia Language
Jayesh Nirve,Cross platform GUI for CCExtractor,CCExtractor Development
Chukwuebuka Ezike,Add gdb pretty printer support for Qt5,KDE Community
Liviu-Alexandru Bud,Add dynamic load module support for SOF,The Linux Foundation
Aditya Srivastav,Custom Picture Selector for upload in Commons app,Wikimedia Foundation
Carol Mak,Involutive Markov Chain Monte Carlo in Turing,The Julia Language
Raj Ranjan,Agora Blockchain,AOSSIE
rutvik chandla,Talawa - Mobile App,The Palisadoes Foundation
Piyush_Kumar,bugRzilla: Helping submitting issues to R,The R Project for Statistical Computing
Esteban Blanc,Implement io_uring in gVisor,gVisor
Eraraya Ricardo Muten,Quantum Convolutional Neural Networks for High Energy Physics Analysis at the LHC,Machine Learning for Science (ML4SCI) Umbrella Organization
David Romero Bascones,Population-specific tractography bundle atlas creation,INCF
Atharva Pusalkar,New GUI widgets in Ignition Gazebo,Open Robotics
David Port Louis,Implementation of Example Zoo for mlpack,mlpack
Emre Kurtoglu,Graph Neural Networks for Particle Momentum Estimation in the CMS Trigger System,Machine Learning for Science (ML4SCI) Umbrella Organization
Khyati Saini,Groundwork for platform independent app,52°North GmbH
Aditya Kapoor,Improvement of a Social Navigation component,RoboComp
Kuter Dinel,Improve inter-procedural analyses and optimizations,The LLVM Compiler Infrastructure
Sai Prasanth Duvvuri,Matrix Exponentials,Chapel
Bingchang Chen,TiKV: High-performance Data Import Tool,CNCF
Qi Zeng,Translate ERDDAP User Interface Into Different Languages,Integrated Ocean Observing System (IOOS)
Kelvin Kipkorir,Container-based backend for openQA,openSUSE Project
Georgios Kosmas,hashesdb (Georgios Kosmas),GFOSS - Open Technology Alliance
ricardoV94,[PyMC3] Make SMC-ABC faster and more flexible,NumFOCUS
Huaxi Jiang,Enhance verification for APISIX ingress controller,The Apache Software Foundation
Delton,The Next Step of Ruby 3 Fiber Scheduler,Ruby
Chandan,Migrating industrial robot manipulation exercises to web server,JdeRobot - Universidad Rey Juan Carlos
Jeffrey Cochran,Improvements to Godot Soft-body Dynamics,Godot Engine
Jayasanka Weerasinghe,E2E Automated Tests for the OpenMRS 3.0 RefApp,OpenMRS
Vineet Sharma,Modernizing Administrative functions for OpenMRS: Clinical Data Management,OpenMRS
Saurabh,OpenMRS Android Client 3.0.x,OpenMRS
Huzi Cheng,A Full-featured Web Dashboard  for Optuna to Monitor Optimization History,NumFOCUS
Fatih ATES,CNCF - CNB - Jenkins Plugins,CNCF
Mahmoud Mandour,TCG Plugin: Cache Modelling,QEMU
Leonardo Coelho Ruas,Liquid Galaxy Retro Gaming,Liquid Galaxy project
Purushottam Tiwari,"Improve stream management, message viewing and left sidebar",Zulip
Kushal Kumar,CiceroMark<->OOXML,Accord Project
Mridul,Improving Front-End Typed System,Oppia Foundation
Mustafa Dharwala,3D Viewer Integration,Cuneiform Digital Library Initiative (CDLI)
Abdullah Deshmukh,Flutter Desktop Tool,Dart
Shiv Charan Sharma,Automate Reinforcement Process of Slab and Footing in FreeCAD,BRL-CAD
Angad Kambli,Add pseudo-localization to better spot untranslated strings and unexpected layout changes caused by long strings,Godot Engine
krishna11,Cloning and compatibility improvements for Snare,The Honeynet Project
Akihiro Kiuchi,Jenkins Remoting Monitoring,Continuous Delivery Foundation
Ninad Bhat,Extending the AiiDA REST API towards workflow management,NumFOCUS
Elias Little,What You See Is What You Rest Security,The Julia Language
Frinksy,Extend Ruma's API coverage,Matrix.org
Chandan Prakash,Music Blocks Debugging Aids,Sugar Labs
Ashutosh Bharambe,Adding Integro Differential Equations and Improving symbolic representation of geometry in PINNs,NumFOCUS
Kushagra Gupta 99,Critical efficiency improvements of mcmcse,The R Project for Statistical Computing
Prathamesh Tagore,Boost.Gil : 2D convolution and correlation,Boost C++ Libraries
Anurag Akella,Implementing an application for visualizing the LHCb DAQ network,CERN-HSF
Khushal Agarwal,Automatically generate docs from the components,React Native Elements
Arthur Cohen,Cargo tool for Rust-GCC,GNU Compiler Collection (GCC)
Sarthak Khattar,IntelOwl Improvements,The Honeynet Project
Goutam Verma,SimpleCMS E.S.,Liquid Galaxy project
Suyog Garg,Add a CDS-ASCII writer to astropy,openastronomy
Yang Yang,Push the URL relationship editor to the next level,MetaBrainz Foundation Inc
Dhruva Gole,Bela support for the BeagleBone AI and/or future TI boards,BeagleBoard.org Foundation
Divyansh Jain,GSOC proposal for Nettacker,OWASP Foundation
Edward HUI,Spectral Selection Tools,Audacity
Ke Zhang,Proposal for Apache SkyWalking: Python agent supports profiling,The Apache Software Foundation
Anastasiy Belyaev,C++ connector enhancement,Tarantool
Kodjo Laurent Egbakou,Added new features to  LibVLCSharp and fixed bugs,VideoLAN
Shruti Agarwal,Migration of UI into React.js,FOSSology
Hwarim Hyun,Implementing Work Stealing on Nemo,The Apache Software Foundation
Abhinav Anand,Improvisation and Implementation of ANN Modules,mlpack
Vishal Sharma,Sample/Skeleton Plugins in GOI Supported Languages,Xfce
Shreyan Ganguly,Machine detection of film edits,Red Hen Lab
Alejandro Domínguez,Fractal: Multi account support,GNOME Foundation
ketangupta34,Java Loader using Java Native Interface,MetaCall
BHARAT BIRADAR,SPDX license detection package,Dart
Yash Kumar Verma,RBAC Authorization with Cache Implementation using higher order functions,caMicroscope
Shrey Sachdeva,Development of a user interface to visualise VEP data using neXtProt tools,Open Bioinformatics Foundation
Purva Chaudhari,End-to-End Deep Learning Reconstruction for CMS Experiment,Machine Learning for Science (ML4SCI) Umbrella Organization
Guang Zhang,"Update DBpedia Sparql for newly updated wiki resources and specifically related to pandemic, healthcare, and heath AI fields",DBpedia
Sahaja Belaganti,Upgrade OAM implementation in Crossplane to latest release of spec,CNCF
Nishal Kulkarni,Implement active resource management in GNOME,GNOME Foundation
Vedant Shah,Extending Deepbots to evolutionary algortihms,GFOSS - Open Technology Alliance
Tanishq Gupta,gtfBase- A curated resource of multispecies genomic regions,Open Bioinformatics Foundation
SeifEldeen Emad,Image Sensor Simulation/Emulation,apertus° Association
Gerardo Duran-Martin,TensorFlow Proposal for the Convert Matlab ML examples to Python / JAX project,TensorFlow
Jakub Duchniewicz,GPGPU with GLES API,BeagleBoard.org Foundation
Utpalendu Barman,Integrate MJML / GrapeJS Newsletters,CiviCRM LLC
Pawan Wadhwani,Deep Reinforcement Learning for precise robot grasping and object manipulation,RoboComp
Karine Pistili,Reforestation Assistant & Simulator,Liquid Galaxy project
Rijuta Singh,Integrating the Oppia blog with Oppia.org,Oppia Foundation
isolte,glTF virtual environment loading,xrdesktop
Parth Kanakiya,OpenMRS GSOC-21 Proposal,OpenMRS
Divyam Ahuja,Finishing implementation of unfinished Game Engines,ScummVM
Manuel Drehwald,Integrating Enzyme into Rust,The LLVM Compiler Infrastructure
Anurag Gupta,Implement reusable GA4GH UI clients,Global Alliance for Genomics and Health
Saptarshi Majumder,RGW:S3 SDK Compatibility,Ceph
Ali Eren Yogurtcu,FastFingers Application Development,CCExtractor Development
Sarthak Garg-1,Improve User Experience in Zulip Terminal,Zulip
Lara Lazier,Complete AMD virtualization emulation,QEMU
Harsh Prakash Gupta,Add support for in-browser interactive averaging of physics results,CERN-HSF
Ish Bosamiya,Continued Development on Adaptive Cloth Simulator for Blender,Blender Foundation
Medhavi Srivastava,Support for Extended Operations in FHIR,OpenMRS
João Vitor F. Cavalcante,R Community Explorer - Exploration of the R community on Twitter,The R Project for Statistical Computing
Hiebl,Unified Catrobat Language Brick Syntax,International Catrobat Association
Oskar Walcher,Search functionality for bricks in Pocket Code,International Catrobat Association
Nicolas,A step forward on Shaka Player’s User Interface,Shaka Player
Ameya Deshpande,IPv6 Nix-Vector Routing,The ns-3 Network Simulator Project
Arjun Taneja,Improving Accessibility for the Visually Impaired,MuseScore
ArunagirinadanSudharshan,Implementing integration tests using Gherkin language,Ceph
Swadesh Jana,Create a Red Hen OpenDataset for gestures with performance baselines,Red Hen Lab
kinshuk,"Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic",INCF
Mohit,Microsoft Word Integration,JabRef e.V.
Rohit Goswami,LFortran and Computational Chemistry,Fortran-lang
Dilith Jayakody,Curve Improvements,Blender Foundation
Sudhanshu Kumar P,DFFML : Add data cleanup dataflow operations and sklearn accuracy scorers,Python Software Foundation
Nitin Mishra,TensorCore Extension for Deep Learning,Free and Open Source Silicon Foundation
Yash Agrawal,Add zoom and pan to the Wikisource Pagelist Widget,Wikimedia Foundation
Kaushlendra Pratap Singh,Copyright False Positive Detection Using ML,FOSSology
Siger,Lua scripted watchpoints in LLDB,LabLua
Danish Jamal,Fineract Client,The Apache Software Foundation
Hanxi Guo,"Proposal for ""Accelerate OpenCV.js DNN via WebNN""",OpenCV
Manav Nair,eMMC Plugin Firmware,apertus° Association
Kai A. Hiller,Fractal NEXT,GNOME Foundation
Mohit Balwani,Refactor the ODE module and make it fast,SymPy
Sai Bhushan,Improve Test Coverage in p5.Sound library,Processing Foundation
Kamil Albrycht,React diagram component library for creating pedigree drawings tools,Global Alliance for Genomics and Health
Aditi-Singh,OpenWrt Device Page,freifunk
Anastasia Neklepaeva,Various SQL VM improvements: threaded interpretation and instruction merging,Tarantool
sp35,IntelOwl Connectors Manager and Integrations,The Honeynet Project
Crane yang,Macromedia Director,ScummVM
Jingchen YE,Speeding up string operations,mypy
parth-07,Add support for functor objects in clad,CERN-HSF
Peddi Sai Varshith,Integrate an optical microscope with a camera and motorized stage - Collaboration with FDA,caMicroscope
Xin Yue Chen,Turn All References Blue,Internet Archive
lusceu,Implementing DDiMon for Windows and Linux using Bareflank,The Honeynet Project
jasondk,Pin Tracks & Review Tracks Through CritiqueBrainz,MetaBrainz Foundation Inc
Roberto Rosmaninho,LLVM Back-end for the Tensor Algebra Compiler (TACO),Python Software Foundation
Pokemod97,Terminal Driver Improvements,TianoCore
michaeokoko,Use JSON as on-disk format for Histograms,MariaDB Foundation
Meet Bhatnagar,R Conference Events Explorer,The R Project for Statistical Computing
Anjani Kumar,Port digiKam to Qt6 on Linux,KDE Community
Magali Lemes,Improving statistics from kw,The Linux Foundation
earthshakira,Query the Blockchain,Polypheny
adi10hero,Semantic Versioning Plugin for Jenkins,Continuous Delivery Foundation
Aditya-Dubey,Move custom JS\TS lint checks to eslint,Oppia Foundation
Anand Kumar,Automatic Lineshape Engine,openastronomy
suraj kulriya,Make All Filter Functions Work Well Even Without PPD Files,The Linux Foundation
Ida Delphine,Code Formatting and Style Check for RTEMS SuperCore (score),RTEMS Project
Alexandros Manochis,High dimensional geometric computations with least matrix inequalities,GeomScale
Zhipeng Zhao,Social Knowledge Graph: Employing SNA measures to Knowledge Graph,DBpedia
Riken Shah,Removing Unused CSS & Working On Developer Tooling Area,Zulip
Pritam Saha,Develop a Cytoscape App for the Casual Path Algorithm,National Resource for Network Biology (NRNB)
Yash Patel,Migrate Web Presence to new Module Site,The Terasology Foundation
Matvey Luboshnikov,Replacement of deprecated GTK classes,Synfig
Michal Klein,Using machine learning to seed LLVM’s attributor pass,The LLVM Compiler Infrastructure
Gaurav Genani,Expose Cilium Config to CLI Tool,Cilium
Pratik Baid,Flood Mobile App,CCExtractor Development
Hrithik Kumar,Coding style checker bot for Gerrit,Haiku
Kacper Kujawski,Webots integration,RoboComp
Harsh Mishra,Improving User Experience Of Frontend and Enabling User Personalisation,AOSSIE
Rakshita Varadarajan,New protocols for exascale data management with Rucio,CERN-HSF
Srikar Reddy Jilugu,Converting ML Matlab Examples to Python using JAX,TensorFlow
Svea Marie Meyer,Project 9.5: Classification using EEG,INCF
Priyanshu Jain,Finish the new web interface,Kodi
ThenoobMario,Implementing GPU Accelerated Sub-gridding,gprMax
Tejasvi Gupta,Interactive Graphics for ChemoSpec,The R Project for Statistical Computing
Anshu Khare,Sidebar Task,LibreOffice
Anshuman Singh,Refactor Multi-Task BERT,DeepPavlov
Amish Garg,TensorFlow Lite Flutter Support Suite Enhancements,TensorFlow
Diptanshu Mittal,A Django Platform for comparing scientific methods for analyzing neural time series analysis methods,INCF
Xinyu Zhou,Refactor Casbin.js and other optimizations on pycasbin and node-casbin,Casbin
mikit,Faster and Accurate License Matcher,SPDX
Harsh Bardhan Mishra,Development of Jupyter Kernel for MetaCall Core,MetaCall
Hongli Zhao,SageMath: Efficient Tensor Calculus Backend and Numerical Tensor Arithmetics via Tensor-Train,SageMath
Ahmat Hamdan,Inference Code Generation for Recurrent Neural Networks,CERN-HSF
Adrij Shikhar,SenZ Project Proposal,SCoRe Lab
Hyeongyu Kim,Fix miscompilation issues in LLVM IR using the ‘Freeze’ instruction,The LLVM Compiler Infrastructure
Siddharth Saha,ROS2-RADI and Single Robot Amazon warehouse exercise in web-based template,JdeRobot - Universidad Rey Juan Carlos
Anais Gonzalez,Improving the p5.xr Library Through Artistic Examples,Processing Foundation
Diego Porras,SKF support for interactive vulnerability fixing.,OWASP Foundation
Yifan Wang,Project Proposals for TF Core and Model Garden,TensorFlow
Konstantin Sidorov,Improving OpenMP code generation with prediction of runtime parameters,The LLVM Compiler Infrastructure
Tirth Patel,Integrate library UNU.RAN into scipy.stats,Python Software Foundation
Varun Jain,Functional Enahancements To Fineract CN Mobile Application,The Apache Software Foundation
Yash Prakash,Automate Metrics Release and Process Improvement,CHAOSS Project
Diego Urgell,Binary Segmentation Package,The R Project for Statistical Computing
Shashwat Dalakoti,Exercise using Deep Learning for Visual Detection,JdeRobot - Universidad Rey Juan Carlos
Anaswara T Rajan,SWAN support in oCIS,CERN-HSF
Jayesh Desai,Modular DBpedia Chatbot,DBpedia
Chetan Karwa,Linked List in stdlib of Fortran-lang,Fortran-lang
Rohan Mallick,Smart Pens,caMicroscope
Tarindu Jayatilaka,Machine Learning Guided Ordering of Compiler Optimization Passes,The LLVM Compiler Infrastructure
Ashutosh Kumar-1,DBpedia Live Neural Question Answering Chatbot - GSoC2021,DBpedia
Fawzi E. Abdulfattah,Enhancing the EOS-icons [Backend],Python Software Foundation
Anushka Chakraborty,Feature Implemetation and Ui Development of Android FHIR,Google FHIR SDK
Suraj Choubey,GeomScale: Monte Carlo Integration,GeomScale
Martin Gius,TidalCycles API and editor plugin,Haskell.org
Manjot Sidhu,Interactive Book Integration for Mobile App,CircuitVerse.org
Aditya R Rudra,Improving Test Coverage and Implementing CI/CD in BrainBox,INCF
Shubhaditya Burela,Implementing an Unsteady Vortex-Lattice aerodynamic element,MBDyn
Sourabha G,Improve and maintain 15 Sugar activities,Sugar Labs
CaitlinHaedrich,Improved Integration of GRASS GIS and Jupyter Notebooks,OSGeo - Open Source Geospatial Foundation
Aitik Gupta,Matplotlib: Revisiting Text/Font Handling,NumFOCUS
Angelina Panagopoulou,matrixStats: Consistent Support for Names Attributes,The R Project for Statistical Computing
Aakash Hemadri,Analysis and fixing of race condition warnings in the Linux kernel,The Linux Foundation
Tim Reichelt,GPU Support for AdvancedHMC.jl,The Julia Language
George Dialektakis,Deep autoencoders for ATLAS data compression,CERN-HSF
Ilya Zarubin,RcppSMC - support for modern Monte Carlo methods,The R Project for Statistical Computing
Marc Prat Masó,Tools for visualization and efficient editing,Open Chemistry
Amey Varhade,Machine Learning for Turbulent Fluid Dynamics,Machine Learning for Science (ML4SCI) Umbrella Organization
pingport80,Improving Post-Exploitation API,Metasploit
Shashwat,Create web components for FHIR Resources,LibreHealth
Nikolaos Kokkinis,DeepbotsZero,GFOSS - Open Technology Alliance
Divyam Singal,Boost.Real: Modifying internal representation of operation and improving math functions,Boost C++ Libraries
Saurav Shrivastav,Improve pgeu-system for Conference Management,PostgreSQL
Mugilraj D,IIO Driver: AD4695 ADC,The Linux Foundation
Tushar Guha Neogi,GSOC Proposal 2021 Bench-Routes,Bench-Routes
Oliver Madine,Haskell Language Server: Symbol Renaming,Haskell.org
Sugam Srivastava,ZFS root support(bootloader and mount_root),The NetBSD Foundation
aley,Tensorflow Proposal,TensorFlow
Dimitrios Iatrakis,Add support for OAuth2 Login (i.e. OpenID Connect) authentication to factotum,Plan 9 Foundation
Antonin Jolivat,QA Reports Extraction Tool,OpenStreetMap
Punit Lodha,Rewrite 708 decoder in Rust,CCExtractor Development
Shreyaa Sharma,Reporting Ceph issues from the Ceph-Dashboard,Ceph
Pranjal Singh,Fuzzing Xen with Xen,The Honeynet Project
Sang Truong,Refactoring of hyperSpec R Package,The R Project for Statistical Computing
Chinmay Vibhute,A Testing Framework for Niffler DICOM frameworks for Continuous Integration,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Vladyslav Hnatiuk,PyQuotient,Matrix.org
Lucas Wang,Framework update and rewrite of the KDE Connect iOS Application,KDE Community
Arib Alam,Tardis Setups Framework,TARDIS SN
Vishnu Madhav,Make Cp-demangler non recursive,GNU Compiler Collection (GCC)
