Name,Project,Organization
Vishal Mishra,Adding a return channel to Icecast server,Xiph.Org Foundation
peymaneh,Packaging Caddy,Debian
Tushar Kumar-2,Implement Interface for external data source import into Calc,LibreOffice
Aswin C,Support for CPU and Platform Profiles,Rizin
Xiaoyu Qiu,GSoC 2021 Proposal: Add regexp-parser() (Xiaoyu Qiu),syslog-ng
Ritik Malik,Automate Metrics Release and Process Improvement,CHAOSS Project
Maanas Talwar,GSoC 2021 Proposal for Scan8,SCoRe Lab
sgeisler,Details often make the difference and I pay attention to them! Coding experience meets state of the art research,TensorFlow
Davide Pietrasanta,Real-time subtitles for movies,VideoLAN
Amarthya Sasi Kiran,Software agent for traffic and pedestrian traffic monitoring in outdoor environments using RGB cameras.,RoboComp
Swapnil Tripathi,Alligator : Podcast Support,KDE Community
Mengan Wang,First-Ever Tibetan Spell Checker,Project WikiLoop
Matthew Joyce,Adding New APIs from POSIX Standard 2021,RTEMS Project
Luca Ferranti,Developing IntervalLinearAlgebra.jl,The Julia Language
Bisakh Mondal,Port power policies end-to-end tests,Chromium
Daksh Doshi,Music Blocks Project Blocks Reorganization,Sugar Labs
Angela Remolina,Improving Python’s online interpreter and more interactive exercises,Python Software Foundation
Aashwin Vaish,GUI for Game Library Management,ScummVM
Shashwat Jaiswal,Adaptation of Behavior Driven Development Ideas for Testing of Source Code Validation Algorithms,Checkstyle
Riya Kalra,Convert Virtual Systems Page to ReactJS,openSUSE Project
Mohit Bhat,NodeCloud - Digital Ocean Provider,SCoRe Lab
Himanshu Garg,ANIMATION IMPROVEMENTS,MIT App Inventor
Smriti Tiwari,Detecting low Volatility anomaly in Stock Market,GeomScale
Asela Dasanayaka,Revive TensorMap,SCoRe Lab
Kartikey Rawat,Implement Kernels for TensorFlow.JS WASM backend,TensorFlow
peb,Checker Creation Helper Script and Recommending Safe package versions,Python Software Foundation
Natáli Anzanello,Astrometry - Gnuastro,openastronomy
Jan Gruber,Extending DRAKVUF by an I/O-emulation module in order to camouflage its sandbox nature,The Honeynet Project
sayshreya,ATARASHI - MINERVA,FOSSology
Gourab Chakraborty,Adopting the Hindi-Bengali language pair (unreleased language pair).,Apertium
grimmmyshini,Add numerical differentiation support in Clad,CERN-HSF
Pan Yue,Boost.Python: asyncio event loop implementation using Boost.Asio,Boost C++ Libraries
Simardeep Singh Sethi,Equadratures: Web Application based on Uncertainty Quantification,NumFOCUS
Shreyas Swanand Atre,Beagle-Config,BeagleBoard.org Foundation
Jixin Chen,"Alpine, macOS support","Center for Research in Open Source Software, UC Santa Cruz"
Xuewei Meng,Guided Filter in FFmpeg,FFmpeg
Trevor Karn,G-invariants of the Orlik-Solomon and Orlik-Terao algebras,SageMath
Ricardo Antunes,3D samples using OpenGL and GLFW,OpenCV
Shadow,Proposal for CodeLabZ,SCoRe Lab
Mahavir Singh,Improve LibreHealth Toolkit Cost Of care Flutter Application And Web-App,LibreHealth
Lorxu,Distinct Terrain Features for Metal Renegades,The Terasology Foundation
Beshiniii,"CrawlerX - Develop Extensible, Distributed, Scalable Web Crawling System",SCoRe Lab
ricekot,Adding Out-of-band Application Testing (OAST) Support to ZAP,OWASP Foundation
Vaibhaw Khemka,Monocular Depth Estimation from RGB signals,RoboComp
Priyansh Garg,Port Zulipbot to GitHub Actions,Zulip
Akshat,Refactor frontend-markdown processor using an extensible CommonMark parser,Zulip
Omar Emara,Evolving the LLDB GUI,The LLVM Compiler Infrastructure
Lakshmi S,Black Parrot on Open-Source Google-Skywater 130nm node,Free and Open Source Silicon Foundation
Anustup Mukherjee,Models to TF HUB and Garden,TensorFlow
Yash Khasbage,Anonymizing Audiovisual Data,Red Hen Lab
Konstantina Skovola,Create procedural language extension for the Julia programming language,PostgreSQL
Abhishek Rawat,Generator for offline documentation,BRL-CAD
Boqian Xie,Proposal for Casdoor and Casnode,Casbin
SOUGATA DAS,CodeLabs - FrontEnd Improvements,SCoRe Lab
Thirumalai Shaktivel,LFortran: Finish AST generation,Fortran-lang
